epoch,step,train_acc,train_f1,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
0,9,,,,1.242730975151062,,,
0,19,,,,1.1720305681228638,,,
0,29,,,,1.0178570747375488,,,
0,39,,,,1.0282832384109497,,,
0,49,,,,0.9225118160247803,,,
0,59,,,,0.7828369140625,,,
0,69,,,,1.0818746089935303,,,
0,79,,,,0.8798532485961914,,,
0,89,,,,0.7486870288848877,,,
0,99,,,,0.6316981315612793,,,
0,109,,,,0.9555172920227051,,,
0,119,,,,1.0539343357086182,,,
0,129,,,,0.7917454838752747,,,
0,139,,,,0.9146146774291992,,,
0,149,,,,0.8118299245834351,,,
0,159,,,,0.6718411445617676,,,
0,160,,,,,0.856249988079071,0.6398977637290955,0.6300135254859924
0,160,0.7111631631851196,0.5132033824920654,0.9239236116409302,,,,
1,169,,,,0.530568540096283,,,
1,179,,,,0.5443108081817627,,,
1,189,,,,0.6583980321884155,,,
1,199,,,,0.43706828355789185,,,
1,209,,,,0.8518456220626831,,,
1,219,,,,0.576377272605896,,,
1,229,,,,0.6144640445709229,,,
1,239,,,,0.4017261862754822,,,
1,249,,,,0.4217036962509155,,,
1,259,,,,0.4379013180732727,,,
1,269,,,,0.39343586564064026,,,
1,279,,,,0.512398898601532,,,
1,289,,,,0.7896673679351807,,,
1,299,,,,0.5050400495529175,,,
1,309,,,,0.4678936302661896,,,
1,319,,,,0.35643717646598816,,,
1,321,,,,,0.9375,0.7079393863677979,0.44698697328567505
1,321,0.8618267178535461,0.6435796022415161,0.5609065294265747,,,,
2,329,,,,0.41396909952163696,,,
2,339,,,,0.5319052338600159,,,
2,349,,,,0.41024237871170044,,,
2,359,,,,0.42019158601760864,,,
2,369,,,,0.43866199254989624,,,
2,379,,,,0.26123517751693726,,,
2,389,,,,0.29966530203819275,,,
2,399,,,,0.41760772466659546,,,
2,409,,,,0.7149773240089417,,,
2,419,,,,0.6007704734802246,,,
2,429,,,,0.38583138585090637,,,
2,439,,,,0.35631275177001953,,,
2,449,,,,0.2734553813934326,,,
2,459,,,,0.39385315775871277,,,
2,469,,,,0.2759093642234802,,,
2,479,,,,0.5363644361495972,,,
2,482,,,,,0.918749988079071,0.6932457685470581,0.3675510585308075
2,482,0.9016393423080444,0.6774236559867859,0.4349978566169739,,,,
3,489,,,,0.35950490832328796,,,
3,499,,,,0.39121028780937195,,,
3,509,,,,0.22333554923534393,,,
3,519,,,,0.6245822906494141,,,
3,529,,,,0.2937929630279541,,,
3,539,,,,0.20297056436538696,,,
3,549,,,,0.46438848972320557,,,
3,559,,,,0.15076614916324615,,,
3,569,,,,0.2606632709503174,,,
3,579,,,,0.30193641781806946,,,
3,589,,,,0.23907428979873657,,,
3,599,,,,0.3046022057533264,,,
3,609,,,,0.17602472007274628,,,
3,619,,,,0.3818057179450989,,,
3,629,,,,0.2563028633594513,,,
3,639,,,,0.14572834968566895,,,
3,643,,,,,0.956250011920929,0.7157307863235474,0.27065083384513855
3,643,0.9110070466995239,0.6854234337806702,0.371643602848053,,,,
