epoch,step,train_acc,train_f1,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
0,9,,,,1.2707642316818237,,,
0,19,,,,1.2028515338897705,,,
0,29,,,,1.19414484500885,,,
0,39,,,,0.9897131323814392,,,
0,40,,,,,0.731249988079071,0.5518319606781006,1.0375421047210693
0,40,0.5862607359886169,0.4079948663711548,1.141110897064209,,,,
1,49,,,,0.8248264193534851,,,
1,59,,,,0.72695392370224,,,
1,69,,,,0.9440718293190002,,,
1,79,,,,0.7934814691543579,,,
1,81,,,,,0.824999988079071,0.6206071376800537,0.7173792719841003
1,81,0.7642467021942139,0.5677242875099182,0.8739660978317261,,,,
2,89,,,,0.7136256694793701,,,
2,99,,,,0.7235817313194275,,,
2,109,,,,0.6675286293029785,,,
2,119,,,,0.5851060748100281,,,
2,122,,,,,0.887499988079071,0.663397490978241,0.5671836137771606
2,122,0.8493364453315735,0.6311622858047485,0.6760870218276978,,,,
3,129,,,,0.5589451193809509,,,
3,139,,,,0.5415311455726624,,,
3,149,,,,0.4297507107257843,,,
3,159,,,,0.3637140393257141,,,
3,163,,,,,0.8812500238418579,0.670658528804779,0.4783457815647125
3,163,0.8852459192276001,0.6587816476821899,0.5494533181190491,,,,
